	ensg	entrez_v99	gene_name_v99	ensg_v99
6596	ENSG00000168878	6439	SFTPB	ENSG00000168878.18
6597	ENSG00000168883	10713	USP39	ENSG00000168883.20
6598	ENSG00000168887	388969	C2orf68	ENSG00000168887.11
6599	ENSG00000168890	129303	TMEM150A	ENSG00000168890.14
6600	ENSG00000168894	51255	RNF181	ENSG00000168894.10
6601	ENSG00000168899	10791	VAMP5	ENSG00000168899.5
6602	ENSG00000168906	4144	MAT2A	ENSG00000168906.13
6603	ENSG00000169564	5093	PCBP1	ENSG00000169564.7
6604	ENSG00000169599	27247	NFU1	ENSG00000169599.12
6605	ENSG00000169604	84168	ANTXR1	ENSG00000169604.19
6606	ENSG00000169605	56287	GKN1	ENSG00000169605.6
6607	ENSG00000169618	10887	PROKR1	ENSG00000169618.6
6608	ENSG00000169621	200558	APLF	ENSG00000169621.10
6609	ENSG00000169764	7360	UGP2	ENSG00000169764.15
6610	ENSG00000170340	10678	B3GNT2	ENSG00000170340.11
6611	ENSG00000172016	5068	REG3A	ENSG00000172016.16
6612	ENSG00000172023	5968	REG1B	ENSG00000172023.8
6613	ENSG00000172116	926	CD8B	ENSG00000172116.23
6615	ENSG00000176204	80059	LRRTM4	ENSG00000176204.13
6616	ENSG00000176407	56888	KCMF1	ENSG00000176407.18
6617	ENSG00000179528	85474	LBX2	ENSG00000179528.16
6619	ENSG00000179833	9792	SERTAD2	ENSG00000179833.4
6621	ENSG00000183281	5343	PLGLB1	ENSG00000183281.14
6622	ENSG00000183607	200504	GKN2	ENSG00000183607.10
6623	ENSG00000183733	344018	FIGLA	ENSG00000183733.6
6624	ENSG00000186854	129293	TRABD2A	ENSG00000186854.11
6625	ENSG00000186854	105374836	TRABD2A	ENSG00000186854.11
6626	ENSG00000186889	200728	TMEM17	ENSG00000186889.10
6627	ENSG00000187605	200424	TET3	ENSG00000187605.15
6628	ENSG00000187627	400966	RGPD1	ENSG00000187627.15
6629	ENSG00000187833	388960	C2orf78	ENSG00000187833.7
6630	ENSG00000188687	57835	SLC4A5	ENSG00000188687.17
6631	ENSG00000196975	307	ANXA4	ENSG00000196975.16
6632	ENSG00000197223	10438	C1D	ENSG00000197223.11
6633	ENSG00000197329	57162	PELI1	ENSG00000197329.12
6634	ENSG00000198369	200734	SPRED2	ENSG00000198369.10
6635	ENSG00000198380	2673	GFPT1	ENSG00000198380.12
6659	ENSG00000204822	116540	MRPL53	ENSG00000204822.7
6660	ENSG00000204843	1639	DCTN1	ENSG00000204843.12
6661	ENSG00000204872	51471	NAT8B	ENSG00000204872.4
6662	ENSG00000204923	554251	FBXO48	ENSG00000204923.4
6663	ENSG00000204929	101927533	AC007389.1	ENSG00000204929.13
6675	ENSG00000214513	344022	NOTO	ENSG00000214513.4
6681	ENSG00000221823	5534	PPP3R1	ENSG00000221823.11
6682	ENSG00000222041	112597	CYTOR	ENSG00000222041.11
6691	ENSG00000224173	102724373	LINC02831	ENSG00000224173.2
6839	ENSG00000239305	7844	RNF103	ENSG00000239305.7
6841	ENSG00000239779	23559	WBP1	ENSG00000239779.7
6849	ENSG00000243667	116143	WDR92	ENSG00000243667.7
6853	ENSG00000244617	151516	ASPRV1	ENSG00000244617.2
6855	ENSG00000249884	100526767	RNF103-CHMP3	ENSG00000249884.8
6943	ENSG00000284308	388963	C2orf81	ENSG00000284308.1
6972	ENSG00000287435	105374802	AC069404.1	ENSG00000287435.1
6976	ENSG00000287687	102724482	AC007387.3	ENSG00000287687.2
6981	ENSG00000040933	3631	INPP4A	ENSG00000040933.15
6982	ENSG00000071051	8440	NCK2	ENSG00000071051.14
6983	ENSG00000071054	9448	MAP4K4	ENSG00000071054.16
6984	ENSG00000071073	11320	MGAT4A	ENSG00000071073.13
6985	ENSG00000071082	6160	RPL31	ENSG00000071082.11
6986	ENSG00000075568	23505	TMEM131	ENSG00000075568.17
6987	ENSG00000084090	56910	STARD7	ENSG00000084090.13
6988	ENSG00000114982	55683	KANSL3	ENSG00000114982.19
6989	ENSG00000114988	81562	LMAN2L	ENSG00000114988.11
6990	ENSG00000115041	30818	KCNIP3	ENSG00000115041.13
6991	ENSG00000115042	51011	FAHD2A	ENSG00000115042.10
6992	ENSG00000115073	10120	ACTR1B	ENSG00000115073.8
6993	ENSG00000115085	7535	ZAP70	ENSG00000115085.13
6994	ENSG00000115446	25972	UNC50	ENSG00000115446.11
6995	ENSG00000115514	10190	TXNDC9	ENSG00000115514.12
6996	ENSG00000115526	9486	CHST10	ENSG00000115526.11
6997	ENSG00000115539	79031	PDCL3	ENSG00000115539.14
6998	ENSG00000115590	7850	IL1R2	ENSG00000115590.14
6999	ENSG00000115593	150572	SMYD1	ENSG00000115593.15
7000	ENSG00000115594	3554	IL1R1	ENSG00000115594.12
7001	ENSG00000115598	8808	IL1RL2	ENSG00000115598.10
7002	ENSG00000115602	9173	IL1RL1	ENSG00000115602.17
7003	ENSG00000115604	8809	IL18R1	ENSG00000115604.10
7004	ENSG00000115607	8807	IL18RAP	ENSG00000115607.9
7005	ENSG00000115616	6549	SLC9A2	ENSG00000115616.3
7006	ENSG00000115641	2274	FHL2	ENSG00000115641.19
7007	ENSG00000115652	80146	UXS1	ENSG00000115652.14
7008	ENSG00000115665	60482	SLC5A7	ENSG00000115665.9
7009	ENSG00000119147	84417	ECRG4	ENSG00000119147.10
7010	ENSG00000121152	23397	NCAPH	ENSG00000121152.10
7011	ENSG00000125551	5342	PLGLB2	ENSG00000125551.19
7012	ENSG00000135940	1329	COX5B	ENSG00000135940.7
7013	ENSG00000135945	51455	REV1	ENSG00000135945.10
7014	ENSG00000135951	80705	TSGA10	ENSG00000135951.16
7015	ENSG00000135953	84804	MFSD9	ENSG00000135953.11
7016	ENSG00000135956	55654	TMEM127	ENSG00000135956.8
7017	ENSG00000135960	10913	EDAR	ENSG00000135960.10
7018	ENSG00000135966	9392	TGFBRAP1	ENSG00000135966.13
7019	ENSG00000135968	9648	GCC2	ENSG00000135968.21
7020	ENSG00000135972	64965	MRPS9	ENSG00000135972.9
7021	ENSG00000135973	11250	GPR45	ENSG00000135973.3
7022	ENSG00000135974	79074	C2orf49	ENSG00000135974.10
7023	ENSG00000135976	375248	ANKRD36	ENSG00000135976.19
7025	ENSG00000144010	653192	TRIM43B	ENSG00000144010.9
7026	ENSG00000144015	129868	TRIM43	ENSG00000144015.5
7027	ENSG00000144021	9391	CIAO1	ENSG00000144021.3
7028	ENSG00000144026	84874	ZNF514	ENSG00000144026.12
7029	ENSG00000144028	23020	SNRNP200	ENSG00000144028.15
7030	ENSG00000144029	64969	MRPS5	ENSG00000144029.12
7031	ENSG00000144057	84620	ST6GAL2	ENSG00000144057.15
7032	ENSG00000144115	55258	THNSL2	ENSG00000144115.16
7033	ENSG00000144182	51601	LIPT1	ENSG00000144182.17
7035	ENSG00000144191	1261	CNGA3	ENSG00000144191.12
7036	ENSG00000144199	151313	FAHD2B	ENSG00000144199.11
7037	ENSG00000144214	129530	LYG1	ENSG00000144214.9
7038	ENSG00000144218	3899	AFF3	ENSG00000144218.19
7039	ENSG00000153165	653489	RGPD3	ENSG00000153165.18
7040	ENSG00000153201	5903	RANBP2	ENSG00000153201.16
7041	ENSG00000153574	22934	RPIA	ENSG00000153574.9
7042	ENSG00000155066	150696	PROM2	ENSG00000155066.16
7043	ENSG00000158050	1844	DUSP2	ENSG00000158050.5
7044	ENSG00000158158	26504	CNNM4	ENSG00000158158.12
7045	ENSG00000158411	129531	MITD1	ENSG00000158411.11
7046	ENSG00000158417	9669	EIF5B	ENSG00000158417.11
7047	ENSG00000158435	55571	CNOT11	ENSG00000158435.8
7048	ENSG00000163006	165055	CCDC138	ENSG00000163006.12
7049	ENSG00000163060	150483	TEKT4	ENSG00000163060.8
7050	ENSG00000163121	93082	NEURL3	ENSG00000163121.10
7051	ENSG00000163126	200539	ANKRD23	ENSG00000163126.15
7052	ENSG00000163162	284996	RNF149	ENSG00000163162.9
7053	ENSG00000163586	2168	FABP1	ENSG00000163586.10
7054	ENSG00000168658	200403	VWA3B	ENSG00000168658.19
7055	ENSG00000168754	51252	FAM178B	ENSG00000168754.15
7056	ENSG00000168758	54910	SEMA4C	ENSG00000168758.11
7057	ENSG00000168763	26505	CNNM3	ENSG00000168763.16
7059	ENSG00000169756	3987	LIMS1	ENSG00000169756.16
7060	ENSG00000170417	130827	TMEM182	ENSG00000170417.16
7061	ENSG00000170485	4862	NPAS2	ENSG00000170485.17
7062	ENSG00000170500	164832	LONRF2	ENSG00000170500.13
7063	ENSG00000172005	4118	MAL	ENSG00000172005.11
7064	ENSG00000172071	9451	EIF2AK3	ENSG00000172071.14
7065	ENSG00000172073	200523	TEX37	ENSG00000172073.4
7066	ENSG00000172086	51315	KRCC1	ENSG00000172086.9
7067	ENSG00000172985	344558	SH3RF3	ENSG00000172985.11
7068	ENSG00000174501	400986	ANKRD36C	ENSG00000174501.14
7069	ENSG00000175874	200407	CREG2	ENSG00000175874.10
7070	ENSG00000180251	389015	SLC9A4	ENSG00000180251.5
7071	ENSG00000183513	493753	COA5	ENSG00000183513.9
7073	ENSG00000185304	729857	RGPD2	ENSG00000185304.15
7074	ENSG00000185414	51263	MRPL30	ENSG00000185414.20
7075	ENSG00000185674	254773	LYG2	ENSG00000185674.9
7076	ENSG00000186281	150763	GPAT2	ENSG00000186281.12
7077	ENSG00000186522	151011	SEPTIN10	ENSG00000186522.15
7079	ENSG00000188886	431705	ASTL	ENSG00000188886.3
7080	ENSG00000196228	442038	SULT1C3	ENSG00000196228.3
7081	ENSG00000196460	731220	RFX8	ENSG00000196460.14
7082	ENSG00000196843	10865	ARID5A	ENSG00000196843.17
7083	ENSG00000196862	285190	RGPD4	ENSG00000196862.9
7084	ENSG00000196872	343990	KIAA1211L	ENSG00000196872.12
7085	ENSG00000196912	57730	ANKRD36B	ENSG00000196912.12
7087	ENSG00000198075	27233	SULT1C4	ENSG00000198075.10
7088	ENSG00000198142	65124	SOWAHC	ENSG00000198142.5
7089	ENSG00000198203	6819	SULT1C2	ENSG00000198203.10
7090	ENSG00000198885	150771	ITPRIPL1	ENSG00000198885.9
7091	ENSG00000198914	5455	POU3F3	ENSG00000198914.5
7094	ENSG00000204634	11138	TBC1D8	ENSG00000204634.12
7096	ENSG00000204640	129521	NMS	ENSG00000204640.1
7122	ENSG00000213337	51239	ANKRD39	ENSG00000213337.9
7128	ENSG00000214336	344167	FOXI3	ENSG00000214336.5
7179	ENSG00000228486	728537	C2orf92	ENSG00000228486.10
7278	ENSG00000236109	105373525	AC013402.3	ENSG00000236109.2
7339	ENSG00000249715	90342	FER1L5	ENSG00000249715.12
7370	ENSG00000254126	927	CD8B2	ENSG00000254126.8
7378	ENSG00000259916	100509620	AL845331.2	ENSG00000259916.1
7413	ENSG00000273045	150590	C2orf15	ENSG00000273045.6
7424	ENSG00000274286	151	ADRA2B	ENSG00000274286.2
7426	ENSG00000275111	7549	ZNF2	ENSG00000275111.5
7460	ENSG00000286101	105373514	AC093894.2	ENSG00000286101.1
7479	ENSG00000015568	84220	RGPD5	ENSG00000015568.13
7481	ENSG00000019169	8685	MARCO	ENSG00000019169.10
7482	ENSG00000072135	26469	PTPN18	ENSG00000072135.13
7483	ENSG00000072163	55679	LIMS2	ENSG00000072163.19
7484	ENSG00000074047	2736	GLI2	ENSG00000074047.21
7485	ENSG00000074054	23332	CLASP1	ENSG00000074054.18
7486	ENSG00000075886	113457	TUBA3D	ENSG00000075886.11
7487	ENSG00000080293	6344	SCTR	ENSG00000080293.9
7488	ENSG00000082258	905	CCNT2	ENSG00000082258.13
7489	ENSG00000088179	5775	PTPN4	ENSG00000088179.9
7490	ENSG00000088205	8886	DDX18	ENSG00000088205.13
7491	ENSG00000114999	150465	TTL	ENSG00000114999.8
7492	ENSG00000115008	3552	IL1A	ENSG00000115008.6
7493	ENSG00000115084	80255	SLC35F5	ENSG00000115084.14
7494	ENSG00000115091	10096	ACTR3	ENSG00000115091.12
7495	ENSG00000115107	55240	STEAP3	ENSG00000115107.20
7496	ENSG00000115109	57669	EPB41L5	ENSG00000115109.14
7497	ENSG00000115112	29842	TFCP2L1	ENSG00000115112.8
7498	ENSG00000115718	5624	PROC	ENSG00000115718.17
7499	ENSG00000115762	55041	PLEKHB2	ENSG00000115762.16
7500	ENSG00000125538	3553	IL1B	ENSG00000125538.12
7501	ENSG00000125571	27178	IL37	ENSG00000125571.9
7502	ENSG00000125611	84269	CHCHD5	ENSG00000125611.15
7503	ENSG00000125618	7849	PAX8	ENSG00000125618.17
7504	ENSG00000125629	51141	INSIG2	ENSG00000125629.15
7505	ENSG00000125630	84172	POLR1B	ENSG00000125630.16
7507	ENSG00000125633	54520	CCDC93	ENSG00000125633.11
7508	ENSG00000125637	23550	PSD4	ENSG00000125637.16
7509	ENSG00000136002	50649	ARHGEF4	ENSG00000136002.19
7510	ENSG00000136682	150472	CBWD2	ENSG00000136682.15
7511	ENSG00000136688	56300	IL36G	ENSG00000136688.11
7512	ENSG00000136689	3557	IL1RN	ENSG00000136689.18
7513	ENSG00000136694	27179	IL36A	ENSG00000136694.9
7514	ENSG00000136695	26525	IL36RN	ENSG00000136695.15
7515	ENSG00000136696	27177	IL36B	ENSG00000136696.11
7516	ENSG00000136697	84639	IL1F10	ENSG00000136697.13
7517	ENSG00000136698	55997	CFC1	ENSG00000136698.9
7518	ENSG00000136699	55627	SMPD4	ENSG00000136699.19
7519	ENSG00000136709	55339	WDR33	ENSG00000136709.12
7520	ENSG00000136710	84317	CCDC115	ENSG00000136710.10
7521	ENSG00000136715	79595	SAP130	ENSG00000136715.18
7522	ENSG00000136717	274	BIN1	ENSG00000136717.15
7523	ENSG00000136718	92856	IMP4	ENSG00000136718.10
7524	ENSG00000136720	9394	HS6ST1	ENSG00000136720.7
7525	ENSG00000136731	56886	UGGT1	ENSG00000136731.13
7526	ENSG00000136732	2995	GYPC	ENSG00000136732.16
7527	ENSG00000144061	4867	NPHP1	ENSG00000144061.12
7528	ENSG00000144063	7851	MALL	ENSG00000144063.4
7529	ENSG00000144118	5899	RALB	ENSG00000144118.14
7530	ENSG00000144119	165257	C1QL2	ENSG00000144119.4
7531	ENSG00000144120	80775	TMEM177	ENSG00000144120.13
7532	ENSG00000144130	284958	NT5DC4	ENSG00000144130.11
7533	ENSG00000144134	11159	RABL2A	ENSG00000144134.18
7534	ENSG00000144136	6574	SLC20A1	ENSG00000144136.11
7535	ENSG00000144152	129804	FBLN7	ENSG00000144152.13
7537	ENSG00000144161	84524	ZC3H8	ENSG00000144161.13
7538	ENSG00000144230	2840	GPR17	ENSG00000144230.16
7539	ENSG00000144231	5433	POLR2D	ENSG00000144231.11
7540	ENSG00000144233	83607	AMMECR1L	ENSG00000144233.9
7542	ENSG00000150551	116372	LYPD1	ENSG00000150551.11
7543	ENSG00000152076	91409	CCDC74B	ENSG00000152076.18
7544	ENSG00000152082	80097	MZT2B	ENSG00000152082.14
7545	ENSG00000152086	112714	TUBA3E	ENSG00000152086.9
7546	ENSG00000152093	653275	CFC1B	ENSG00000152093.8
7547	ENSG00000152102	130074	FAM168B	ENSG00000152102.18
7549	ENSG00000152127	4249	MGAT5	ENSG00000152127.9
7550	ENSG00000152128	81615	TMEM163	ENSG00000152128.13
7551	ENSG00000153086	130013	ACMSD	ENSG00000153086.14
7552	ENSG00000153093	55289	ACOXL	ENSG00000153093.18
7553	ENSG00000153094	10018	BCL2L11	ENSG00000153094.23
7554	ENSG00000153107	64682	ANAPC1	ENSG00000153107.13
7555	ENSG00000153208	10461	MERTK	ENSG00000153208.17
7556	ENSG00000153214	84910	TMEM87B	ENSG00000153214.11
7557	ENSG00000155052	129684	CNTNAP5	ENSG00000155052.14
7558	ENSG00000155368	1622	DBI	ENSG00000155368.16
7559	ENSG00000155438	84365	NIFK	ENSG00000155438.12
7560	ENSG00000163040	90557	CCDC74A	ENSG00000163040.14
7561	ENSG00000163046	554226	ANKRD30BL	ENSG00000163046.15
7562	ENSG00000163064	2019	EN1	ENSG00000163064.7
7563	ENSG00000163075	200373	CFAP221	ENSG00000163075.13
7564	ENSG00000163083	3625	INHBB	ENSG00000163083.6
7565	ENSG00000163161	2071	ERCC3	ENSG00000163161.14
7566	ENSG00000163166	55677	IWS1	ENSG00000163166.15
7567	ENSG00000169607	150468	CKAP2L	ENSG00000169607.13
7568	ENSG00000169629	727851	RGPD8	ENSG00000169629.12
7569	ENSG00000169679	699	BUB1	ENSG00000169679.15
7570	ENSG00000169967	10746	MAP3K2	ENSG00000169967.16
7571	ENSG00000169994	4648	MYO7B	ENSG00000169994.18
7572	ENSG00000171227	140738	TMEM37	ENSG00000171227.7
7573	ENSG00000172965	541471	MIR4435-2HG	ENSG00000172965.17
7574	ENSG00000173272	653784	MZT2A	ENSG00000173272.16
7575	ENSG00000173302	344561	GPR148	ENSG00000173302.5
7576	ENSG00000173349	84826	SFT2D3	ENSG00000173349.6
7577	ENSG00000175497	57628	DPP10	ENSG00000175497.17
7579	ENSG00000175701	205251	MTLN	ENSG00000175701.10
7581	ENSG00000176601	80122	MAP3K19	ENSG00000176601.13
7582	ENSG00000176771	344148	NCKAP5	ENSG00000176771.17
7584	ENSG00000178171	205147	AMER3	ENSG00000178171.10
7587	ENSG00000183054	729540	RGPD6	ENSG00000183054.11
7589	ENSG00000183840	2863	GPR39	ENSG00000183840.7
7591	ENSG00000184492	200350	FOXD4L1	ENSG00000184492.6
7594	ENSG00000186132	130355	C2orf76	ENSG00000186132.15
7596	ENSG00000186684	339761	CYP27C1	ENSG00000186684.14
7598	ENSG00000188177	376940	ZC3H6	ENSG00000188177.14
7599	ENSG00000188219	445582	POTEE	ENSG00000188219.14
7601	ENSG00000196604	728378	POTEF	ENSG00000196604.13
7602	ENSG00000196834	653269	POTEI	ENSG00000196834.12
7626	ENSG00000211460	7247	TSN	ENSG00000211460.12
7640	ENSG00000221288	100313824	MIR663B	ENSG00000221288.1
7641	ENSG00000222014	84084	RAB6C	ENSG00000222014.6
7642	ENSG00000222038	653781	POTEJ	ENSG00000222038.3
7660	ENSG00000224655	101927801	LINC01823	ENSG00000224655.7
7676	ENSG00000226479	79134	TMEM185B	ENSG00000226479.4
7763	ENSG00000233087	150786	RAB6D	ENSG00000233087.7
7818	ENSG00000236682	100506922	MAP3K2-DT	ENSG00000236682.2
7822	ENSG00000237524	101929926	TEX51	ENSG00000237524.10
7866	ENSG00000256671	100288695	LIMS4	ENSG00000256671.6
7867	ENSG00000256977	96626	LIMS3	ENSG00000256977.12
7878	ENSG00000264229	100151683	RNU4ATAC	ENSG00000264229.1
7966	ENSG00000287151	29798	C2orf27A	ENSG00000287151.1
7977	ENSG00000007001	151531	UPP2	ENSG00000007001.12
7978	ENSG00000048991	23518	R3HDM1	ENSG00000048991.16
7979	ENSG00000054219	4065	LY75	ENSG00000054219.11
7980	ENSG00000071909	140469	MYO3B	ENSG00000071909.18
7981	ENSG00000071967	79901	CYBRD1	ENSG00000071967.12
7982	ENSG00000073734	8647	ABCB11	ENSG00000073734.10
7983	ENSG00000073737	10170	DHRS9	ENSG00000073737.16
7984	ENSG00000075884	55843	ARHGAP15	ENSG00000075884.14
7985	ENSG00000076003	4175	MCM6	ENSG00000076003.5
7986	ENSG00000077380	1781	DYNC1I2	ENSG00000077380.15
7987	ENSG00000078098	2191	FAP	ENSG00000078098.14
7988	ENSG00000080345	55183	RIF1	ENSG00000080345.18
7989	ENSG00000081479	4036	LRP2	ENSG00000081479.15
7990	ENSG00000082438	22837	COBLL1	ENSG00000082438.17
7991	ENSG00000091409	3655	ITGA6	ENSG00000091409.15
7992	ENSG00000091428	11069	RAPGEF4	ENSG00000091428.18
7993	ENSG00000091436	51776	MAP3K20	ENSG00000091436.17
7994	ENSG00000115145	10254	STAM2	ENSG00000115145.10
7995	ENSG00000115159	2820	GPD2	ENSG00000115159.16
7996	ENSG00000115165	9595	CYTIP	ENSG00000115165.10
7997	ENSG00000115170	90	ACVR1	ENSG00000115170.15
7998	ENSG00000115183	85461	TANC1	ENSG00000115183.15
7999	ENSG00000115221	3694	ITGB6	ENSG00000115221.12
8000	ENSG00000115233	10213	PSMD14	ENSG00000115233.12
8001	ENSG00000115263	2641	GCG	ENSG00000115263.15
8002	ENSG00000115267	64135	IFIH1	ENSG00000115267.8
8003	ENSG00000115271	25801	GCA	ENSG00000115271.11
8004	ENSG00000115290	2888	GRB14	ENSG00000115290.10
8005	ENSG00000115339	2591	GALNT3	ENSG00000115339.14
8006	ENSG00000115806	26003	GORASP2	ENSG00000115806.13
8007	ENSG00000115827	80067	DCAF17	ENSG00000115827.14
8008	ENSG00000115839	22930	RAB3GAP1	ENSG00000115839.17
8009	ENSG00000115840	8604	SLC25A12	ENSG00000115840.14
8010	ENSG00000115844	1746	DLX2	ENSG00000115844.11
8011	ENSG00000115850	3938	LCT	ENSG00000115850.10
8012	ENSG00000115866	1615	DARS1	ENSG00000115866.11
8013	ENSG00000115919	8942	KYNU	ENSG00000115919.15
8014	ENSG00000115935	7456	WIPF1	ENSG00000115935.17
8015	ENSG00000115947	5000	ORC4	ENSG00000115947.13
8016	ENSG00000115963	390	RND3	ENSG00000115963.13
8017	ENSG00000115966	1386	ATF2	ENSG00000115966.17
8018	ENSG00000121964	79712	GTDC1	ENSG00000121964.14
8019	ENSG00000121966	7852	CXCR4	ENSG00000121966.7
8020	ENSG00000121988	84083	ZRANB3	ENSG00000121988.18
8021	ENSG00000121989	92	ACVR2A	ENSG00000121989.15
8022	ENSG00000123600	79828	METTL8	ENSG00000123600.19
8023	ENSG00000123607	79809	TTC21B	ENSG00000123607.15
8024	ENSG00000123609	9111	NMI	ENSG00000123609.11
8025	ENSG00000123610	7130	TNFAIP6	ENSG00000123610.5
8026	ENSG00000123612	130399	ACVR1C	ENSG00000123612.16
8027	ENSG00000123636	29994	BAZ2B	ENSG00000123636.18
8028	ENSG00000128656	1123	CHN1	ENSG00000128656.14
8029	ENSG00000128683	2571	GAD1	ENSG00000128683.14
8031	ENSG00000128708	8520	HAT1	ENSG00000128708.13
8032	ENSG00000135999	26122	EPC2	ENSG00000135999.12
8033	ENSG00000136531	6326	SCN2A	ENSG00000136531.17
8034	ENSG00000136535	10716	TBR1	ENSG00000136535.15
8035	ENSG00000136536	64844	MARCHF7	ENSG00000136536.15
8036	ENSG00000136541	57471	ERMN	ENSG00000136541.14
8037	ENSG00000136542	11227	GALNT5	ENSG00000136542.9
8038	ENSG00000136546	6332	SCN7A	ENSG00000136546.16
8039	ENSG00000136560	10010	TANK	ENSG00000136560.14
8040	ENSG00000138382	29081	METTL5	ENSG00000138382.15
8041	ENSG00000138385	6741	SSB	ENSG00000138385.16
8042	ENSG00000138398	9360	PPIG	ENSG00000138398.16
8043	ENSG00000138399	79675	FASTKD1	ENSG00000138399.18
8044	ENSG00000138430	29789	OLA1	ENSG00000138430.16
8045	ENSG00000138433	9541	CIR1	ENSG00000138433.16
8046	ENSG00000138435	1134	CHRNA1	ENSG00000138435.16
8047	ENSG00000144224	23190	UBXN4	ENSG00000144224.17
8048	ENSG00000144227	11249	NXPH2	ENSG00000144227.5
8049	ENSG00000144228	339745	SPOPL	ENSG00000144228.9
8050	ENSG00000144229	80731	THSD7B	ENSG00000144229.12
8051	ENSG00000144278	114805	GALNT13	ENSG00000144278.15
8052	ENSG00000144283	8502	PKP4	ENSG00000144283.21
8053	ENSG00000144285	6323	SCN1A	ENSG00000144285.21
8054	ENSG00000144290	57282	SLC4A10	ENSG00000144290.17
8055	ENSG00000144306	79634	SCRN3	ENSG00000144306.15
8056	ENSG00000144320	80856	LNPK	ENSG00000144320.14
8057	ENSG00000144354	83879	CDCA7	ENSG00000144354.14
8058	ENSG00000144355	1745	DLX1	ENSG00000144355.15
8059	ENSG00000144357	130507	UBR3	ENSG00000144357.17
8060	ENSG00000144362	493911	PHOSPHO2	ENSG00000144362.12
8061	ENSG00000150540	3176	HNMT	ENSG00000150540.14
8062	ENSG00000150556	130576	LYPD6B	ENSG00000150556.17
8063	ENSG00000152253	57405	SPC25	ENSG00000152253.9
8064	ENSG00000152254	57818	G6PC2	ENSG00000152254.11
8065	ENSG00000152256	5163	PDK1	ENSG00000152256.13
8066	ENSG00000153234	4929	NR4A2	ENSG00000153234.14
8067	ENSG00000153237	130940	CCDC148	ENSG00000153237.18
8068	ENSG00000153246	22925	PLA2R1	ENSG00000153246.13
8069	ENSG00000153250	5937	RBMS1	ENSG00000153250.20
8070	ENSG00000153253	6328	SCN3A	ENSG00000153253.18
8071	ENSG00000154479	129881	CCDC173	ENSG00000154479.13
8072	ENSG00000154518	518	ATP5MC3	ENSG00000154518.9
8073	ENSG00000157827	114793	FMNL2	ENSG00000157827.20
8075	ENSG00000162980	26225	ARL5A	ENSG00000162980.17
8076	ENSG00000162989	3760	KCNJ3	ENSG00000162989.5
8077	ENSG00000163072	115677	NOSTRIN	ENSG00000163072.15
8078	ENSG00000163092	129446	XIRP2	ENSG00000163092.20
8079	ENSG00000163093	129880	BBS5	ENSG00000163093.12
8080	ENSG00000163328	151556	GPR155	ENSG00000163328.13
8081	ENSG00000163331	92196	DAPL1	ENSG00000163331.11
8082	ENSG00000168280	3800	KIF5C	ENSG00000168280.17
8083	ENSG00000168288	27249	MMADHC	ENSG00000168288.13
8084	ENSG00000168702	53353	LRP1B	ENSG00000168702.18
8085	ENSG00000169432	6335	SCN9A	ENSG00000169432.17
8086	ENSG00000169507	151258	SLC38A11	ENSG00000169507.9
8087	ENSG00000169554	9839	ZEB2	ENSG00000169554.21
8088	ENSG00000172292	253782	CERS6	ENSG00000172292.14
8089	ENSG00000172318	8708	B3GALT1	ENSG00000172318.5
8090	ENSG00000172845	6670	SP3	ENSG00000172845.15
8091	ENSG00000172878	254042	METAP1D	ENSG00000172878.14
8092	ENSG00000174279	344191	EVX2	ENSG00000174279.4
8093	ENSG00000177519	56475	RPRM	ENSG00000177519.4
8094	ENSG00000177917	151188	ARL6IP6	ENSG00000177917.10
8095	ENSG00000178662	80034	CSRNP3	ENSG00000178662.16
8097	ENSG00000182263	55137	FIGN	ENSG00000182263.14
8098	ENSG00000182389	785	CACNB4	ENSG00000182389.19
8099	ENSG00000183091	4703	NEB	ENSG00000183091.19
8100	ENSG00000184611	90134	KCNH7	ENSG00000184611.12
8101	ENSG00000184898	375287	RBM43	ENSG00000184898.7
8102	ENSG00000187123	130574	LYPD6	ENSG00000187123.15
8104	ENSG00000196151	151525	WDSUB1	ENSG00000196151.10
8105	ENSG00000196504	55660	PRPF40A	ENSG00000196504.17
8106	ENSG00000197635	1803	DPP4	ENSG00000197635.10
8108	ENSG00000198586	9874	TLK1	ENSG00000198586.14
8109	ENSG00000198648	27347	STK39	ENSG00000198648.11
8125	ENSG00000204334	285141	ERICH2	ENSG00000204334.7
8126	ENSG00000204335	389058	SP5	ENSG00000204335.4
8128	ENSG00000204406	55777	MBD5	ENSG00000204406.13
8138	ENSG00000207654	406915	MIR128-1	ENSG00000207654.4
8147	ENSG00000213160	151230	KLHL23	ENSG00000213160.10
8148	ENSG00000213160	100526832	KLHL23	ENSG00000213160.10
8162	ENSG00000217236	100131390	SP9	ENSG00000217236.2
8376	ENSG00000239467	285141	AC007405.4	ENSG00000239467.6
8377	ENSG00000239474	10324	KLHL41	ENSG00000239474.7
8380	ENSG00000241399	9936	CD302	ENSG00000241399.7
8389	ENSG00000248672	100526664	LY75-CD302	ENSG00000248672.5
8451	ENSG00000286081	105373682	AC016682.1	ENSG00000286081.1
8462	ENSG00000286679	107985953	AC073225.1	ENSG00000286679.1
8476	ENSG00000003393	57679	ALS2	ENSG00000003393.15
8477	ENSG00000003400	843	CASP10	ENSG00000003400.15
8478	ENSG00000003402	8837	CFLAR	ENSG00000003402.20
